Fecha,Hora,Precio
2022-10-07 00:00:00,19.0,367.322774296
2022-10-07 00:00:00,20.0,422.233125247
2022-10-07 00:00:00,21.0,460.408224579
2022-10-07 00:00:00,22.0,428.043478797
2022-10-07 00:00:00,23.0,345.958550421
2022-10-07 00:00:00,24.0,321.002020648
2022-03-19 00:00:00,1.0,330.64055218
2022-03-19 00:00:00,2.0,323.00886322
2022-03-19 00:00:00,3.0,297.2014371
2022-03-19 00:00:00,4.0,268.9420264
2022-03-19 00:00:00,5.0,266.24526126
2022-03-19 00:00:00,6.0,266.76607054
2022-03-19 00:00:00,7.0,287.39219566
2022-03-19 00:00:00,8.0,272.7924285
2022-03-19 00:00:00,9.0,300.08272902
2022-03-19 00:00:00,10.0,296.3644591
2022-03-19 00:00:00,11.0,282.42682364
2022-03-19 00:00:00,12.0,244.02410964
2022-03-19 00:00:00,13.0,242.8452855
2022-03-19 00:00:00,14.0,238.11729136
2022-03-19 00:00:00,15.0,238.72924908
2022-03-19 00:00:00,16.0,239.74234168
2022-03-19 00:00:00,17.0,243.4344827
2022-03-19 00:00:00,18.0,252.68164942
2022-03-19 00:00:00,19.0,295.11049474
2022-03-19 00:00:00,20.0,359.01117488
2022-03-19 00:00:00,21.0,349.78605486
2022-03-19 00:00:00,22.0,325.69230972
2022-03-19 00:00:00,23.0,314.339632
2022-03-19 00:00:00,24.0,312.52426344
2022-10-13 00:00:00,1.0,277.938131341
2022-10-13 00:00:00,2.0,284.484287437
2022-10-13 00:00:00,3.0,289.071298825
2022-10-13 00:00:00,4.0,297.010843384
2022-10-13 00:00:00,5.0,301.644878686
2022-10-13 00:00:00,6.0,295.008539209
2022-10-13 00:00:00,7.0,289.91376124
2022-10-13 00:00:00,8.0,323.736651484
2022-10-13 00:00:00,9.0,353.900199868
2022-10-13 00:00:00,10.0,332.057094303
2022-10-13 00:00:00,11.0,301.518526365
2022-10-13 00:00:00,12.0,286.412802273
2022-10-13 00:00:00,13.0,277.771977483
2022-10-13 00:00:00,14.0,276.550660165
2022-10-13 00:00:00,15.0,232.049078164
2022-10-13 00:00:00,16.0,230.25862244
2022-10-13 00:00:00,17.0,234.383137927
2022-10-13 00:00:00,18.0,247.363584685
2022-10-13 00:00:00,19.0,323.550212514
2022-10-13 00:00:00,20.0,380.465320146
2022-10-13 00:00:00,21.0,379.96029524
2022-10-13 00:00:00,22.0,387.924022419
2022-10-13 00:00:00,23.0,358.210434461
2022-10-13 00:00:00,24.0,308.411830568
2021-11-07 00:00:00,1.0,182.91017256
2021-11-07 00:00:00,2.0,168.80828232
2021-11-07 00:00:00,3.0,153.0719092
2021-11-07 00:00:00,4.0,122.01971664
2021-11-07 00:00:00,5.0,100.31146408
2021-11-07 00:00:00,6.0,120.08090064
2021-11-07 00:00:00,7.0,131.61932762
2021-11-07 00:00:00,8.0,131.8115649
2021-11-07 00:00:00,9.0,165.42220674
2021-11-07 00:00:00,10.0,169.69253712
2021-11-07 00:00:00,11.0,165.36067452
2021-11-07 00:00:00,12.0,167.77487666
2021-11-07 00:00:00,13.0,169.1793948
2021-11-07 00:00:00,14.0,161.33063422
2021-11-07 00:00:00,15.0,156.72907536
2021-11-07 00:00:00,16.0,159.9430941
2021-11-07 00:00:00,17.0,172.77725498
2021-11-07 00:00:00,18.0,226.524432
2021-11-07 00:00:00,19.0,233.68945242
2021-11-07 00:00:00,20.0,242.59752642
2021-11-07 00:00:00,21.0,230.29536398
2021-11-07 00:00:00,22.0,229.99092684
2021-11-07 00:00:00,23.0,226.88450742
2021-11-07 00:00:00,24.0,226.46863186
2021-11-13 00:00:00,1.0,238.33737698
2021-11-13 00:00:00,2.0,233.81802258
2021-11-13 00:00:00,3.0,222.2504006
2021-11-13 00:00:00,4.0,197.16150204
2021-11-13 00:00:00,5.0,197.64644562
2021-11-13 00:00:00,6.0,197.4956799
2021-11-13 00:00:00,7.0,195.13558002
2021-11-13 00:00:00,8.0,219.044832
2021-11-13 00:00:00,9.0,217.3711234
2021-11-13 00:00:00,10.0,212.5691748
2021-11-13 00:00:00,11.0,211.2388662
2021-11-13 00:00:00,12.0,215.78303634
2021-11-13 00:00:00,13.0,215.79472634
2021-11-13 00:00:00,14.0,214.58481134
2021-11-13 00:00:00,15.0,215.00891106
2021-11-13 00:00:00,16.0,216.36054308
2021-11-13 00:00:00,17.0,223.0182741
2021-11-13 00:00:00,18.0,259.09849712
2021-11-13 00:00:00,19.0,270.41388168
2021-11-13 00:00:00,20.0,263.49021768
2021-11-13 00:00:00,21.0,248.68453596
2021-11-13 00:00:00,22.0,247.68113754
2021-11-13 00:00:00,23.0,234.74048198
2021-11-13 00:00:00,24.0,227.78441484
2022-01-27 00:00:00,1.0,304.13992678
2022-01-27 00:00:00,2.0,296.8000621
2022-01-27 00:00:00,3.0,297.33490012
2022-01-27 00:00:00,4.0,288.95591556
2022-01-27 00:00:00,5.0,286.26011542
2022-01-27 00:00:00,6.0,285.56995468
2022-01-27 00:00:00,7.0,285.07059748
2022-01-27 00:00:00,8.0,296.33338228
2022-01-27 00:00:00,9.0,336.1257641
2022-01-27 00:00:00,10.0,335.59056538
2022-01-27 00:00:00,11.0,390.5602948
2022-01-27 00:00:00,12.0,380.98587666
2022-01-27 00:00:00,13.0,381.71809666
2022-01-27 00:00:00,14.0,382.65101452
2022-01-27 00:00:00,15.0,308.3860148
2022-01-27 00:00:00,16.0,307.50194624
2022-01-27 00:00:00,17.0,314.13653482
2022-01-27 00:00:00,18.0,324.12588026
2022-01-27 00:00:00,19.0,402.60288314
2022-01-27 00:00:00,20.0,408.727432
2022-01-27 00:00:00,21.0,408.35003572
2022-01-27 00:00:00,22.0,396.24712688
2022-01-27 00:00:00,23.0,301.31362602
2022-01-27 00:00:00,24.0,311.08421432
2022-12-05 00:00:00,1.0,385.403370652
2022-12-05 00:00:00,2.0,335.595565459
2022-12-05 00:00:00,3.0,320.648376352
2022-12-05 00:00:00,4.0,321.78479875
2022-12-05 00:00:00,5.0,315.359775581
2022-12-05 00:00:00,6.0,314.449944805
2022-12-05 00:00:00,7.0,299.996367275
2022-12-05 00:00:00,8.0,359.475541345
2022-12-05 00:00:00,9.0,383.559308071
2022-12-05 00:00:00,10.0,380.483338014
2022-12-05 00:00:00,11.0,418.766797559
2022-12-05 00:00:00,12.0,414.86015622
2022-12-05 00:00:00,13.0,406.380741189
2022-12-05 00:00:00,14.0,407.892367491
2022-12-05 00:00:00,15.0,365.562094575
2022-12-05 00:00:00,16.0,358.634329221
2022-12-05 00:00:00,17.0,362.446396117
2022-12-05 00:00:00,18.0,372.126615974
2022-12-05 00:00:00,19.0,436.947573687
2022-12-05 00:00:00,20.0,443.345214633
2022-12-05 00:00:00,21.0,450.2257908
2022-12-05 00:00:00,22.0,450.637242516
2022-12-05 00:00:00,23.0,389.800322745
2022-12-05 00:00:00,24.0,382.905048708
2022-12-11 00:00:00,1.0,330.775013665
2022-12-11 00:00:00,2.0,292.247708518
2022-12-11 00:00:00,3.0,276.586001667
2022-12-11 00:00:00,4.0,280.751978322
2022-12-11 00:00:00,5.0,284.459014982
2022-12-11 00:00:00,6.0,287.584177295
2022-12-11 00:00:00,7.0,287.69521125
2022-12-11 00:00:00,8.0,288.230932182
2022-12-11 00:00:00,9.0,300.220118768
2022-12-11 00:00:00,10.0,305.678531308
2022-12-11 00:00:00,11.0,298.745167301
2022-12-11 00:00:00,12.0,286.013967823
2022-12-11 00:00:00,13.0,269.045466202
2022-12-11 00:00:00,14.0,272.524421044
2022-12-11 00:00:00,15.0,278.788387821
2022-12-11 00:00:00,16.0,270.851896411
2022-12-11 00:00:00,17.0,284.700796864
2022-12-11 00:00:00,18.0,296.905935341
2022-12-11 00:00:00,19.0,311.176159503
2022-12-11 00:00:00,20.0,311.896399762
2022-12-11 00:00:00,21.0,314.931772823
2022-12-11 00:00:00,22.0,312.128985313
2022-12-11 00:00:00,23.0,297.192044059
2022-12-11 00:00:00,24.0,280.489312423
2022-12-10 00:00:00,1.0,230.389490775
2022-12-10 00:00:00,2.0,232.410285484
2022-12-10 00:00:00,3.0,220.185415107
2022-12-10 00:00:00,4.0,198.921939116
